"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FEYE","FireEye, Inc.","10.56","$2.35B","2013","Technology","Computer peripheral equipment","https://old.nasdaq.com/symbol/feye",
"FBNC","First Bancorp","22.64","$661.25M","1987","Finance","Major Banks","https://old.nasdaq.com/symbol/fbnc",
"FNLC","First Bancorp, Inc (ME)","19.43","$212.19M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fnlc",
"FRBA","First Bank","6.54","$132.54M","2013","n/a","n/a","https://old.nasdaq.com/symbol/frba",
"BUSE","First Busey Corporation","16.16","$878.89M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/buse",
"FBIZ","First Business Financial Services, Inc.","15.18","$130.36M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fbiz",
"FCAP","First Capital, Inc.","48.5","$163.83M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fcap",
"FCBP","First Choice Bancorp","13.54","$158.28M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fcbp",
"FCNCA","First Citizens BancShares, Inc.","329.05","$3.46B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fcnca",
"FCNCP","First Citizens BancShares, Inc.","22.6871","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fcncp",
"FCBC","First Community Bankshares, Inc.","21.98","$388.85M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fcbc",
"FCCO","First Community Corporation","14","$104.47M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fcco",
"FDEF","First Defiance Financial Corp.","14.24","$536.37M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fdef",
"FFBC","First Financial Bancorp.","13.48","$1.32B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ffbc",
"FFIN","First Financial Bankshares, Inc.","24.66","$3.51B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ffin",
"THFF","First Financial Corporation Indiana","30.7","$422.24M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/thff",
"FFNW","First Financial Northwest, Inc.","8.77","$89.42M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ffnw",
"FFWM","First Foundation Inc.","10.84","$485.2M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/ffwm",
"FGBI","First Guaranty Bancshares, Inc.","11.6","$113M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fgbi",
"FHB","First Hawaiian, Inc.","16.19","$2.11B","2016","Finance","Major Banks","https://old.nasdaq.com/symbol/fhb",
"INBK","First Internet Bancorp","13.65","$133.16M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/inbk",
"INBKL","First Internet Bancorp","23.9","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/inbkl",
"INBKZ","First Internet Bancorp","21","n/a","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/inbkz",
"FIBK","First Interstate BancSystem, Inc.","28.79","$1.88B","2010","Finance","Major Banks","https://old.nasdaq.com/symbol/fibk",
"FRME","First Merchants Corporation","25.66","$1.41B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/frme",
"FMBH","First Mid Bancshares, Inc.","23.36","$390.08M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fmbh",
"FMBI","First Midwest Bancorp, Inc.","13.29","$1.52B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fmbi",
"FXNC","First National Corporation","14.7","$71.29M","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/fxnc",
"FNWB","First Northwest Bancorp","9.6","$102.03M","2015","Finance","Banks","https://old.nasdaq.com/symbol/fnwb",
"FSFG","First Savings Financial Group, Inc.","40.5","$95.47M","n/a","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fsfg",
"FSEA","First Seacoast Bancorp","5.84","$35.53M","2019","Finance","Savings Institutions","https://old.nasdaq.com/symbol/fsea",
"FSLR","First Solar, Inc.","39.18","$4.15B","2006","Technology","Semiconductors","https://old.nasdaq.com/symbol/fslr",
"FAAR","First Trust Alternative Absolute Return Strategy ETF","25.2751","$30.33M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/faar",
"FPA","First Trust Asia Pacific Ex-Japan AlphaDEX Fund","20.8098","$12.49M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fpa",
"BICK","First Trust BICK Index Fund","21.2682","$65.93M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/bick",
"FBZ","First Trust Brazil AlphaDEX Fund","8.9378","$9.38M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fbz",
"FTHI","First Trust BuyWrite Income ETF","17.866","$60.28M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fthi",
"FCAL","First Trust California Municipal High income ETF","50.5896","$78.41M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fcal",
"FCAN","First Trust Canada AlphaDEX Fund","16.2546","$2.44M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fcan",
"FTCS","First Trust Capital Strength ETF","52.98","$3.83B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftcs",
"FCEF","First Trust CEF Income Opportunity ETF","17.021","$28.17M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fcef",
"FCA","First Trust China AlphaDEX Fund","22.39","$55.98M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fca",
"SKYY","First Trust Cloud Computing ETF","58.54","$2.7B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/skyy",
"RNDM","First Trust Developed International Equity Select ETF","40.2425","$24.15M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rndm",
"FDT","First Trust Developed Markets Ex-US AlphaDEX Fund","41.09","$380.16M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fdt",
"FDTS","First Trust Developed Markets ex-US Small Cap AlphaDEX Fund","27.175","$5.44M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fdts",
"FVC","First Trust Dorsey Wright Dynamic Focus 5 ETF","23.11","$281.94M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fvc",
"FV","First Trust Dorsey Wright Focus 5 ETF","27.85","$1.75B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fv",
"IFV","First Trust Dorsey Wright International Focus 5 ETF","14.43","$246.75M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ifv",
"DDIV","First Trust Dorsey Wright Momentum & Dividend ETF","18.4358","$33.18M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ddiv",
"DVOL","First Trust Dorsey Wright Momentum & Low Volatility ETF","18.8657","$99.04M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dvol",
"DVLU","First Trust Dorsey Wright Momentum & Value ETF","12.35","$12.97M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dvlu",
"DWPP","First Trust Dorsey Wright People&#39;s Portfolio ETF","25.375","$30.45M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dwpp",
"DALI","First Trust DorseyWright DALI 1 ETF","16.9","$15.21M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/dali",
"FDNI","First Trust Dow Jones International Internet ETF","24.7321","$7.42M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fdni",
"FEM","First Trust Emerging Markets AlphaDEX Fund","18.47","$408.19M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fem",
"RNEM","First Trust Emerging Markets Equity Select ETF","38.0811","$7.62M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/rnem",
"FEMB","First Trust Emerging Markets Local Currency Bond ETF","32.0301","$139.33M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/femb",
"FEMS","First Trust Emerging Markets Small Cap AlphaDEX Fund","26.4899","$115.23M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fems",
"FTSM","First Trust Enhanced Short Maturity ETF","59.52","$4.93B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftsm",
"FEP","First Trust Europe AlphaDEX Fund","26.41","$336.73M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fep",
"FEUZ","First Trust Eurozone AlphaDEX ETF","28.9074","$33.24M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/feuz",
"FGM","First Trust Germany AlphaDEX Fund","32.8547","$75.57M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fgm",
"FTGC","First Trust Global Tactical Commodity Strategy Fund","14.1293","$78.46M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftgc",
"FTLB","First Trust Hedged BuyWrite Income ETF","19.5795","$5.87M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftlb",
"HYLS","First Trust High Yield Long/Short ETF","44.46","$1.28B","n/a","n/a","n/a","https://old.nasdaq.com/symbol/hyls",
"FHK","First Trust Hong Kong AlphaDEX Fund","27.3158","$2.73M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/fhk",
"NFTY","First Trust India Nifty 50 Equal Weight ETF","23.67","$2.37M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/nfty",
"FTAG","First Trust Indxx Global Agriculture ETF","16.89","$2.36M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftag",
"FTRI","First Trust Indxx Global Natural Resources Income ETF","8.27","$4.96M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/ftri",
"LEGR","First Trust Indxx Innovative Transaction & Process ETF","25.6441","$34.62M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/legr",
